Annee;Region;id_departement;Departement;Animaux;Tetes certfiées bio / ruches
2008;ALSACE;67;BAS-RHIN;Brebis viande;220
2008;ALSACE;67;BAS-RHIN;Chèvres;s
2008;ALSACE;67;BAS-RHIN;Poules pondeuses;5596
2008;ALSACE;67;BAS-RHIN;Ruches;s
2008;ALSACE;67;BAS-RHIN;Truies;36
2008;ALSACE;67;BAS-RHIN;Vaches allaitantes;984
2008;ALSACE;67;BAS-RHIN;Vaches laitières;1777
2008;ALSACE;68;HAUT-RHIN;Brebis viande;512
2008;ALSACE;68;HAUT-RHIN;Chèvres;560
2008;ALSACE;68;HAUT-RHIN;Poules pondeuses;5200
2008;ALSACE;68;HAUT-RHIN;Ruches;1695
2008;ALSACE;68;HAUT-RHIN;Truies;s
2008;ALSACE;68;HAUT-RHIN;Vaches allaitantes;192
2008;ALSACE;68;HAUT-RHIN;Vaches laitières;681
2008;AQUITAINE;24;DORDOGNE;Brebis laitières;s
2008;AQUITAINE;24;DORDOGNE;Brebis viande;1676
2008;AQUITAINE;24;DORDOGNE;Chèvres;348
2008;AQUITAINE;24;DORDOGNE;Poules pondeuses;5630
2008;AQUITAINE;24;DORDOGNE;Poulets;46080
2008;AQUITAINE;24;DORDOGNE;Ruches;215
2008;AQUITAINE;24;DORDOGNE;Truies;19
2008;AQUITAINE;24;DORDOGNE;Vaches allaitantes;1486
2008;AQUITAINE;24;DORDOGNE;Vaches laitières;74
2008;AQUITAINE;33;GIRONDE;Brebis laitières;s
2008;AQUITAINE;33;GIRONDE;Brebis viande;191
2008;AQUITAINE;33;GIRONDE;Chèvres;s
2008;AQUITAINE;33;GIRONDE;Poules pondeuses;s
2008;AQUITAINE;33;GIRONDE;Poulets;s
2008;AQUITAINE;33;GIRONDE;Ruches;1181
2008;AQUITAINE;33;GIRONDE;Truies;s
2008;AQUITAINE;33;GIRONDE;Vaches allaitantes;276
2008;AQUITAINE;33;GIRONDE;Vaches laitières;s
2008;AQUITAINE;40;LANDES;Brebis viande;s
2008;AQUITAINE;40;LANDES;Poules pondeuses;8240
2008;AQUITAINE;40;LANDES;Poulets;296522
2008;AQUITAINE;40;LANDES;Ruches;s
2008;AQUITAINE;40;LANDES;Truies;s
2008;AQUITAINE;40;LANDES;Vaches allaitantes;114
2008;AQUITAINE;47;LOT-ET-GARONNE;Brebis laitières;s
2008;AQUITAINE;47;LOT-ET-GARONNE;Brebis viande;719
2008;AQUITAINE;47;LOT-ET-GARONNE;Chèvres;347
2008;AQUITAINE;47;LOT-ET-GARONNE;Poules pondeuses;55975
2008;AQUITAINE;47;LOT-ET-GARONNE;Poulets;428866
2008;AQUITAINE;47;LOT-ET-GARONNE;Ruches;s
2008;AQUITAINE;47;LOT-ET-GARONNE;Vaches allaitantes;232
2008;AQUITAINE;47;LOT-ET-GARONNE;Vaches laitières;93
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Brebis laitières;2038
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Brebis viande;682
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Chèvres;149
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Poules pondeuses;297
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Poulets;102200
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Ruches;343
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Truies;4
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Vaches allaitantes;634
2008;AQUITAINE;64;PYRENEES-ATLANTIQUES;Vaches laitières;85
2008;AUVERGNE;3;ALLIER;Brebis viande;3565
2008;AUVERGNE;3;ALLIER;Chèvres;151
2008;AUVERGNE;3;ALLIER;Poules pondeuses;41540
2008;AUVERGNE;3;ALLIER;Poulets;245562
2008;AUVERGNE;3;ALLIER;Truies;195
2008;AUVERGNE;3;ALLIER;Vaches allaitantes;2979
2008;AUVERGNE;3;ALLIER;Vaches laitières;115
2008;AUVERGNE;15;CANTAL;Brebis viande;318
2008;AUVERGNE;15;CANTAL;Chèvres;s
2008;AUVERGNE;15;CANTAL;Poules pondeuses;97
2008;AUVERGNE;15;CANTAL;Poulets;s
2008;AUVERGNE;15;CANTAL;Truies;8
2008;AUVERGNE;15;CANTAL;Vaches allaitantes;1741
2008;AUVERGNE;15;CANTAL;Vaches laitières;669
2008;AUVERGNE;43;HAUTE-LOIRE;Brebis laitières;s
2008;AUVERGNE;43;HAUTE-LOIRE;Brebis viande;4885
2008;AUVERGNE;43;HAUTE-LOIRE;Chèvres;389
2008;AUVERGNE;43;HAUTE-LOIRE;Poules pondeuses;4880
2008;AUVERGNE;43;HAUTE-LOIRE;Poulets;14902
2008;AUVERGNE;43;HAUTE-LOIRE;Ruches;1615
2008;AUVERGNE;43;HAUTE-LOIRE;Truies;57
2008;AUVERGNE;43;HAUTE-LOIRE;Vaches allaitantes;542
2008;AUVERGNE;43;HAUTE-LOIRE;Vaches laitières;873
2008;AUVERGNE;63;PUY-DE-DOME;Brebis viande;1458
2008;AUVERGNE;63;PUY-DE-DOME;Chèvres;242
2008;AUVERGNE;63;PUY-DE-DOME;Poules pondeuses;s
2008;AUVERGNE;63;PUY-DE-DOME;Poulets;238089
2008;AUVERGNE;63;PUY-DE-DOME;Ruches;890
2008;AUVERGNE;63;PUY-DE-DOME;Truies;s
2008;AUVERGNE;63;PUY-DE-DOME;Vaches allaitantes;1247
2008;AUVERGNE;63;PUY-DE-DOME;Vaches laitières;598
2008;BASSE-NORMANDIE;14;CALVADOS;Brebis viande;1070
2008;BASSE-NORMANDIE;14;CALVADOS;Chèvres;311
2008;BASSE-NORMANDIE;14;CALVADOS;Poules pondeuses;8210
2008;BASSE-NORMANDIE;14;CALVADOS;Poulets;s
2008;BASSE-NORMANDIE;14;CALVADOS;Ruches;s
2008;BASSE-NORMANDIE;14;CALVADOS;Truies;s
2008;BASSE-NORMANDIE;14;CALVADOS;Vaches allaitantes;1556
2008;BASSE-NORMANDIE;14;CALVADOS;Vaches laitières;2088
2008;BASSE-NORMANDIE;50;MANCHE;Brebis viande;451
2008;BASSE-NORMANDIE;50;MANCHE;Chèvres;s
2008;BASSE-NORMANDIE;50;MANCHE;Poules pondeuses;8230
2008;BASSE-NORMANDIE;50;MANCHE;Poulets;17798
2008;BASSE-NORMANDIE;50;MANCHE;Truies;s
2008;BASSE-NORMANDIE;50;MANCHE;Vaches allaitantes;885
2008;BASSE-NORMANDIE;50;MANCHE;Vaches laitières;3669
2008;BASSE-NORMANDIE;61;ORNE;Brebis viande;2088
2008;BASSE-NORMANDIE;61;ORNE;Chèvres;75
2008;BASSE-NORMANDIE;61;ORNE;Poules pondeuses;6928
2008;BASSE-NORMANDIE;61;ORNE;Poulets;5580
2008;BASSE-NORMANDIE;61;ORNE;Truies;s
2008;BASSE-NORMANDIE;61;ORNE;Vaches allaitantes;2071
2008;BASSE-NORMANDIE;61;ORNE;Vaches laitières;2912
2008;BOURGOGNE;21;COTE-D'OR;Brebis viande;1616
2008;BOURGOGNE;21;COTE-D'OR;Chèvres;s
2008;BOURGOGNE;21;COTE-D'OR;Poules pondeuses;s
2008;BOURGOGNE;21;COTE-D'OR;Ruches;960
2008;BOURGOGNE;21;COTE-D'OR;Vaches allaitantes;1041
2008;BOURGOGNE;21;COTE-D'OR;Vaches laitières;133
2008;BOURGOGNE;58;NIEVRE;Brebis laitières;s
2008;BOURGOGNE;58;NIEVRE;Brebis viande;660
2008;BOURGOGNE;58;NIEVRE;Chèvres;s
2008;BOURGOGNE;58;NIEVRE;Poules pondeuses;s
2008;BOURGOGNE;58;NIEVRE;Poulets;s
2008;BOURGOGNE;58;NIEVRE;Ruches;s
2008;BOURGOGNE;58;NIEVRE;Truies;s
2008;BOURGOGNE;58;NIEVRE;Vaches allaitantes;1839
2008;BOURGOGNE;58;NIEVRE;Vaches laitières;80
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Brebis viande;904
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Chèvres;400
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Poules pondeuses;12149
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Poulets;18374
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Ruches;1026
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Truies;38
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Vaches allaitantes;1595
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Vaches laitières;127
2008;BOURGOGNE;89;YONNE;Brebis laitières;s
2008;BOURGOGNE;89;YONNE;Brebis viande;386
2008;BOURGOGNE;89;YONNE;Chèvres;237
2008;BOURGOGNE;89;YONNE;Poules pondeuses;s
2008;BOURGOGNE;89;YONNE;Poulets;25890
2008;BOURGOGNE;89;YONNE;Ruches;910
2008;BOURGOGNE;89;YONNE;Truies;97
2008;BOURGOGNE;89;YONNE;Vaches allaitantes;489
2008;BOURGOGNE;89;YONNE;Vaches laitières;372
2008;BRETAGNE;22;COTES-D'ARMOR;Brebis laitières;s
2008;BRETAGNE;22;COTES-D'ARMOR;Brebis viande;584
2008;BRETAGNE;22;COTES-D'ARMOR;Chèvres;218
2008;BRETAGNE;22;COTES-D'ARMOR;Poules pondeuses;433857
2008;BRETAGNE;22;COTES-D'ARMOR;Poulets;22535
2008;BRETAGNE;22;COTES-D'ARMOR;Ruches;s
2008;BRETAGNE;22;COTES-D'ARMOR;Truies;195
2008;BRETAGNE;22;COTES-D'ARMOR;Vaches allaitantes;1361
2008;BRETAGNE;22;COTES-D'ARMOR;Vaches laitières;1784
2008;BRETAGNE;29;FINISTERE;Brebis laitières;s
2008;BRETAGNE;29;FINISTERE;Brebis viande;740
2008;BRETAGNE;29;FINISTERE;Chèvres;653
2008;BRETAGNE;29;FINISTERE;Poules pondeuses;33996
2008;BRETAGNE;29;FINISTERE;Poulets;16513
2008;BRETAGNE;29;FINISTERE;Ruches;s
2008;BRETAGNE;29;FINISTERE;Truies;250
2008;BRETAGNE;29;FINISTERE;Vaches allaitantes;1154
2008;BRETAGNE;29;FINISTERE;Vaches laitières;2055
